"indicator","measure","Unit","Date","Value"
"Agriculture","N'Million","N'million","2015Q1","466381.34101969"
"Agriculture","N'Million","N'million","2015Q2","484947.8044158"
"Agriculture","N'Million","N'million","2015Q3","469924.38344257"
"Agriculture","N'Million","N'million","2015Q4","449307.28689471"
"Agriculture","N'Million","N'million","2016Q1","485633.74120468"
"Agriculture","N'Million","N'million","2016Q2","480639.21542912"
"Agriculture","N'Million","N'million","2016Q3","491281.18349994"
"Agriculture","N'Million","N'million","2016Q4","525945.1918737"
"Agriculture","N'Million","N'million","2017Q1","556544.58633674"
"Agriculture","N'Million","N'million","2017Q2","501088.16417134"
"Agriculture","N'Million","N'million","2017Q3","491496.69"
"Agriculture","N'Million","N'million","2017Q4","528243.812673"
"Agriculture","N'Million","N'million","2018Q1","501673.77867752"
"Agriculture","N'Million","N'million","2018Q2","523075.99084569"
"Agriculture","N'Million","N'million","2018Q3","591784.18918612"
"Agriculture","Sectoral Share as a % of Total Credit","%","2015Q1","3.49163576857746"
"Agriculture","Sectoral Share as a % of Total Credit","%","2015Q2","3.61000850261838"
"Agriculture","Sectoral Share as a % of Total Credit","%","2015Q3","3.61094727051352"
"Agriculture","Sectoral Share as a % of Total Credit","%","2015Q4","3.43344223978675"
"Agriculture","Sectoral Share as a % of Total Credit","%","2016Q1","3.67692690434809"
"Agriculture","Sectoral Share as a % of Total Credit","%","2016Q2","3.09342330803984"
"Agriculture","Sectoral Share as a % of Total Credit","%","2016Q3","3.03539110263284"
"Agriculture","Sectoral Share as a % of Total Credit","%","2016Q4","3.26323680214264"
"Agriculture","Sectoral Share as a % of Total Credit","%","2017Q1","3.47786312642632"
"Agriculture","Sectoral Share as a % of Total Credit","%","2017Q2","3.18949688811574"
"Agriculture","Sectoral Share as a % of Total Credit","%","2017Q3","3.10576560224985"
"Agriculture","Sectoral Share as a % of Total Credit","%","2017Q4","3.35593306374967"
"Agriculture","Sectoral Share as a % of Total Credit","%","2018Q1","3.21487175372361"
"Agriculture","Sectoral Share as a % of Total Credit","%","2018Q2","3.40967501341521"
"Agriculture","Sectoral Share as a % of Total Credit","%","2018Q3","3.795932686991"
"Transportation & Storage","N'Million","N'million","2015Q1","458442.91101353"
"Transportation & Storage","N'Million","N'million","2015Q2","413138.37415603"
"Transportation & Storage","N'Million","N'million","2015Q3","420878.3291308"
"Transportation & Storage","N'Million","N'million","2015Q4","420608.69773237"
"Transportation & Storage","N'Million","N'million","2016Q1","389545.46145368"
"Transportation & Storage","N'Million","N'million","2016Q2","456889.25114382"
"Transportation & Storage","N'Million","N'million","2016Q3","459224.34109591"
"Transportation & Storage","N'Million","N'million","2016Q4","450755.68715679"
"Transportation & Storage","N'Million","N'million","2017Q1","431941.49160349"
"Transportation & Storage","N'Million","N'million","2017Q2","403147.52507338"
"Transportation & Storage","N'Million","N'million","2017Q3","373260.09"
"Transportation & Storage","N'Million","N'million","2017Q4","332087.49443932"
"Transportation & Storage","N'Million","N'million","2018Q1","291673.36243441"
"Transportation & Storage","N'Million","N'million","2018Q2","304446.48520245"
"Transportation & Storage","N'Million","N'million","2018Q3","311463.91844907"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2015Q1","3.43220348920013"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2015Q2","3.07545065650494"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2015Q3","3.23407234725645"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2015Q4","3.21413809955509"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2016Q1","2.94940418293968"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2016Q2","2.94056708922368"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2016Q3","2.83732722907171"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2016Q4","2.79672211065361"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2017Q1","2.69921480381165"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2017Q2","2.56609089699719"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2017Q3","2.35862900361482"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2017Q4","2.10975192876814"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2018Q1","1.86912789557361"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2018Q2","1.98453683916667"
"Transportation & Storage","Sectoral Share as a % of Total Credit","%","2018Q3","1.99785004476908"
"Finance, Insurance and Capital Market","N'Million","N'million","2015Q1","757275.46617036"
"Finance, Insurance and Capital Market","N'Million","N'million","2015Q2","811924.98920004"
"Finance, Insurance and Capital Market","N'Million","N'million","2015Q3","790241.68370013"
"Finance, Insurance and Capital Market","N'Million","N'million","2015Q4","791381.9606867"
"Finance, Insurance and Capital Market","N'Million","N'million","2016Q1","763054.67064188"
"Finance, Insurance and Capital Market","N'Million","N'million","2016Q2","856276.90877179"
"Finance, Insurance and Capital Market","N'Million","N'million","2016Q3","933341.92879611"
"Finance, Insurance and Capital Market","N'Million","N'million","2016Q4","937424.49342918"
"Finance, Insurance and Capital Market","N'Million","N'million","2017Q1","943452.99923525"
"Finance, Insurance and Capital Market","N'Million","N'million","2017Q2","909862.88245346"
"Finance, Insurance and Capital Market","N'Million","N'million","2017Q3","916848.46"
"Finance, Insurance and Capital Market","N'Million","N'million","2017Q4","1125903.33311204"
"Finance, Insurance and Capital Market","N'Million","N'million","2018Q1","999491.89158305"
"Finance, Insurance and Capital Market","N'Million","N'million","2018Q2","991217.4311144"
"Finance, Insurance and Capital Market","N'Million","N'million","2018Q3","1056045.3618406"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2015Q1","5.66945945685887"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2015Q2","6.04406512991933"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2015Q3","6.07229833425259"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2015Q4","6.04745200196076"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2016Q1","5.7773914988108"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2016Q2","5.51105041515611"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2016Q3","5.76667269484835"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2016Q4","5.8162678420732"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2017Q1","5.89566492624418"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2017Q2","5.79140566410391"
"Finance, Insurance and Capital Market","Sectoral Share as a % of Total Credit","%","2017Q3","5.79356172173559"
